Date,Open,High,Low,Close,Adj Close,Volume
2009-05-25,12.721154,13.009615,11.750000,12.961538,9.216195,174063100
2009-06-01,13.288462,13.451923,12.788462,13.019231,9.257218,369080900
2009-06-08,12.980769,13.240385,12.615385,12.990385,9.236705,336575300
2009-06-15,12.846154,12.846154,11.019231,11.634615,8.272697,621071000
2009-06-22,11.403846,11.567307,10.817307,11.298077,8.102188,432582800
2009-06-29,11.365385,11.480769,11.019231,11.019231,7.902221,287230300
2009-07-06,10.932693,11.096154,10.096154,10.365385,7.433329,474358400
2009-07-13,10.461538,12.019231,10.451923,11.201923,8.033234,560512100
2009-07-20,11.259615,11.615385,10.817307,11.567307,8.295262,453288900
2009-07-27,11.701923,12.932693,11.567307,12.884615,9.239944,562524300
2009-08-03,13.125000,14.307693,12.875000,14.134615,10.136353,550244600
2009-08-10,14.057693,14.259615,13.153846,13.384615,9.598507,447453300
2009-08-17,12.836538,13.730769,12.653846,13.663462,9.798477,370527600
2009-08-24,13.807693,13.942307,13.413462,13.538462,9.708839,381742700
2009-08-31,13.403846,13.442307,12.528846,13.336538,9.564033,387567100
2009-09-07,13.961538,14.451923,13.807693,14.105769,10.115669,538833400
2009-09-14,13.990385,16.846153,13.846154,15.865385,11.377544,1035363300
2009-09-21,15.798077,16.826923,15.442307,15.740385,11.357382,589142100
2009-09-28,15.836538,16.432692,14.567307,14.769231,10.656652,542790900
2009-10-05,14.990385,15.913462,14.913462,15.557693,11.225565,393624500
2009-10-12,15.730769,16.221153,15.240385,15.461538,11.156184,516363700
2009-10-19,15.432693,15.509615,14.528846,14.615385,10.545647,530633900
2009-10-26,14.653846,14.855769,13.605769,13.711538,9.893480,524690600
2009-11-02,13.750000,14.894231,13.605769,14.740385,10.635839,513875200
2009-11-09,15.096154,15.375000,14.884615,15.057693,10.864789,394075000
2009-11-16,15.192307,15.567307,14.855769,14.990385,10.816225,344785000
2009-11-23,15.221154,15.625000,14.711538,15.326923,11.059053,274241800
2009-11-30,15.211538,15.855769,15.201923,15.576923,11.239438,412344400
2009-12-07,15.451923,15.615385,14.923077,15.307693,11.045179,326764900
